old_key,new_key,year,first_author,title,doi
McAfee2022.09.15.22279954,McAfee2023SchizophreniaRegulatoryVariants,2023,Jessica C. McAfee,Systematic investigation of allelic regulatory activity of schizophrenia-associated common variants,10.1016/j.xgen.2023.100404
Moritz2021.09.16.460631,Moritz2023ProtamineChromatin,2023,Lindsay Moritz,Sperm chromatin structure and reproductive fitness are altered by substitution of a single amino acid in mouse protamine 1,10.1038/s41594-023-01033-4
Castro2022.11.05.515231,Castro2023DeNovoNoncodingVariants,2023,Christopher P. Castro,Challenges in screening for de novo noncoding variants contributing to genetically complex phenotypes,10.1016/j.xhgg.2023.100210
Mumm2022.03.15.484480,Mumm2023OnRamp,2023,Camille Mumm,OnRamp: rapid nanopore plasmid validation,10.1101/gr.277369.122
Dong2022.10.18.512627,Dong2023RegulomeDB2,2023,Shengcheng Dong,Annotating and prioritizing human non-coding variants with RegulomeDB v.2,10.1038/s41588-023-01365-3
Ouyang2022.11.22.517559,Ouyang2022NoncodingVariantTFBinding,2022,Ningxin Ouyang,Quantitative assessment of association between noncoding variants and transcription factor binding,10.1101/2022.11.22.517559
Nishizaki:2022,Nishizaki2022SEMplMe,2022,Sierra S Nishizaki,SEMplMe: A tool for integrating DNA methylation effects in transcription factor binding affinity predictions,10.1186/s12859-022-04865-x
Qin2020.10.22.351049,Qin2022EnhancerTargetGenes,2022,Tingting Qin,Comprehensive enhancer-target gene assignments improve gene set level interpretation of genome-wide regulatory data,10.1186/s13059-022-02668-0
Bao2021.01.15.426907,Bao2021SquiggleNet,2021,Yuwei Bao,"SquiggleNet: real-time, direct classification of nanopore signals",10.1186/s13059-021-02511-y
Dong2021,Dong2021TissueSpecificRegulatoryVariants,2021,Shengcheng Dong,Prioritization of regulatory variants with tissue-specific function in the non-coding regions of human genome,10.1093/nar/gkab924
McDonald2021,McDonald2021Cas9MobileElements,2021,Torrin L. McDonald,Cas9 targeted enrichment of mobile elements using nanopore sequencing,10.1038/s41467-021-23918-y
Nishizak:2021a,Nishizaki2021LacOperatorZebrafish,2021,Sierra S Nishizaki,The inducible lac operator-repressor system is functional in zebrafish cells,10.3389/fgene.2021.683394
Zhao:2021a,Zhao2021FSeq2,2021,Nanxiang Zhao,F-Seq2: improving the feature density based peak caller with dynamic statistics,10.1093/nargab/lqab012
